"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"Bradenton","FL","North Port-Sarasota-Bradenton","Manatee County",132,1592.54,0.0121,0.0106,0.0278,102152
2019-10-31,"Corona","CA","Riverside-San Bernardino-Ontario","Riverside County",133,2256.98,0.0102,0.0165,0.0261,55818
2019-10-31,"Oceanside","CA","San Diego-Carlsbad","San Diego County",134,2360.38,0.0025,0.007,0.0513,56936
2019-10-31,"Tacoma","WA","Seattle-Tacoma-Bellevue","Pierce County",135,1643.67,0.0065,0.0203,0.0354,71870
2019-10-31,"Grand Rapids","MI","Grand Rapids-Wyoming","Kent County",136,1376.36,0.0126,0.0322,0.055,70836
2019-10-31,"Gainesville","FL","Gainesville","Alachua County",137,1175.97,0.0145,0.0291,0.0843,63019
2019-10-31,"Yonkers","NY","New York-Newark-Jersey City","Westchester County",138,2186.73,-0.0098,-0.0131,0.0284,38279
2019-10-31,"Glendale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",139,2723.81,0,0.0019,0.0182,42593
2019-10-31,"Augusta","GA","Augusta-Richmond County","Richmond County",140,929.41,0.0242,0.0455,0.0044,66272
2019-10-31,"Moreno Valley","CA","Riverside-San Bernardino-Ontario","Riverside County",141,1771.03,0.0037,0.0158,0.0375,51591
2019-10-31,"Akron","OH","Akron","Summit County",142,809.73,0.0127,0.012,0.008,74128
2019-10-31,"Aurora","IL","Chicago-Naperville-Elgin","Kane County",143,1414.32,0.0101,0.0117,-0.0045,52099
2019-10-31,"Wilmington","NC","Wilmington","New Hanover County",144,1338.3,0.0039,0.005,0.0864,79821
2019-10-31,"Huntington Beach","CA","Los Angeles-Long Beach-Anaheim","Orange County",145,2764.55,0.0134,0.0129,0.0264,67384
2019-10-31,"Huntsville","AL","Huntsville","Madison County",146,1055.4,0.029,0.0471,0.1056,70410
2019-10-31,"Amarillo","TX","Amarillo","Potter County",147,806.66,0.0128,0.0084,-0.0618,68503
2019-10-31,"Eugene","OR","Eugene","Lane County",148,1461.18,0.0027,0.014,0.0417,60680
2019-10-31,"Salt Lake City","UT","Salt Lake City","Salt Lake County",149,1531.97,0.0075,0.0197,0.0447,64685
2019-10-31,"Port Saint Lucie","FL","Port St. Lucie","Saint Lucie County",150,1518.99,0.0082,0.0113,0.0272,90728
2019-10-31,"Salinas","CA","Salinas","Monterey County",151,2420.44,0.0163,0.0462,0.0374,44163
2019-10-31,"Little Rock","AR","Little Rock-North Little Rock-Conway","Pulaski County",152,866.49,0.0105,0.0013,0.009,76427
2019-10-31,"Fort Collins","CO","Fort Collins","Larimer County",153,1670.08,0.0017,0.0012,0.0129,65816
2019-10-31,"Hayward","CA","San Francisco-Oakland-Hayward","Alameda County",154,2697.58,-0.0138,-0.0181,-0.0265,45025
2019-10-31,"Brownsville","TX","Brownsville-Harlingen","Cameron County",155,871.3,0.009,0.0052,0.0186,47997
2019-10-31,"Rockford","IL","Rockford","Winnebago County",156,911.59,0.0057,-0.0051,0.0097,59962
2019-10-31,"Evansville","IN","Evansville","Vanderburgh County",157,859.76,-0.0005,0.0188,-0.0319,67085
2019-10-31,"Worcester","MA","Worcester","Worcester County",158,1416.93,0.0042,0.0091,0.0289,46660
2019-10-31,"Overland Park","KS","Kansas City","Johnson County",159,1372.63,0.0132,0.021,0.0221,60778
2019-10-31,"Lancaster","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",160,1902.58,-0.0006,0.012,0.0575,53618
2019-10-31,"Salem","OR","Salem","Marion County",161,1448.86,0.0122,0.0308,0.0531,49400
2019-10-31,"Garden Grove","CA","Los Angeles-Long Beach-Anaheim","Orange County",162,2476.75,0.0053,0.0113,0.0317,36254
2019-10-31,"Grand Prairie","TX","Dallas-Fort Worth-Arlington","Dallas County",163,1295.43,-0.0022,-0.0003,0.0086,53820
2019-10-31,"Beaverton","OR","Portland-Vancouver-Hillsboro","Washington County",164,1574.74,0.0149,0.0005,0.0026,44967
2019-10-31,"Escondido","CA","San Diego-Carlsbad","San Diego County",165,2317.72,0.0026,0.0129,0.077,41984
